LA_2023,Age16plus,Age9,VolFrqB_Pop,MEMS7GR_ALL,volunteering_weight,weight_source,year,age_group_code,age_group,vol_binary_A,vol_binary_A_label,activity_level_3cat,activity_level_3cat_label
112,1.0,4.0,,2.0,,wt_final_online,6,4,35-44,,,2,active
112,1.0,5.0,,2.0,,wt_final_online,6,5,45-54,,,2,active
114,1.0,6.0,0.0,0.0,0.392651711989019,wt_final_online,6,6,55-64,0,not_twiceplus_volunteer,0,inactive
114,1.0,5.0,0.0,2.0,4.129075724896035,wt_final_online,6,5,45-54,0,not_twiceplus_volunteer,2,active
114,1.0,4.0,0.0,2.0,1.161723420125901,wt_final_online,6,4,35-44,0,not_twiceplus_volunteer,2,active
114,1.0,3.0,0.0,2.0,1.0701935317256028,wt_final_online,6,3,25-34,0,not_twiceplus_volunteer,2,active
114,1.0,2.0,0.0,2.0,0.5865910488519797,wt_final_online,6,2,16-24,0,not_twiceplus_volunteer,2,active
114,1.0,2.0,0.0,2.0,0.5865910488519797,wt_final_online,6,2,16-24,0,not_twiceplus_volunteer,2,active
114,1.0,6.0,0.0,2.0,0.5684245450901831,wt_final_online,6,6,55-64,0,not_twiceplus_volunteer,2,active
114,1.0,6.0,2.0,2.0,0.7504831532635836,wt_final_online,6,6,55-64,1,twiceplus_volunteer,2,active
114,1.0,5.0,,2.0,,wt_final_online,6,5,45-54,,,2,active
114,1.0,3.0,0.0,0.0,2.596711747932129,wt_final_online,6,3,25-34,0,not_twiceplus_volunteer,0,inactive
114,1.0,3.0,0.0,2.0,0.7144538680318824,wt_final_online,6,3,25-34,0,not_twiceplus_volunteer,2,active
114,1.0,7.0,,2.0,,wt_final_online,6,7,65-74,,,2,active
114,1.0,2.0,,2.0,,wt_final_online,6,2,16-24,,,2,active
114,1.0,7.0,,2.0,,wt_final_online,6,7,65-74,,,2,active
114,1.0,5.0,0.0,2.0,0.4453375857328951,wt_final_online,6,5,45-54,0,not_twiceplus_volunteer,2,active
114,1.0,3.0,0.0,2.0,0.5429274179451535,wt_final_online,6,3,25-34,0,not_twiceplus_volunteer,2,active
114,1.0,3.0,0.0,2.0,1.619732748106543,wt_final_online,6,3,25-34,0,not_twiceplus_volunteer,2,active
114,1.0,6.0,0.0,2.0,0.5003220957783228,wt_final_online,6,6,55-64,0,not_twiceplus_volunteer,2,active
114,1.0,6.0,0.0,2.0,0.6335108610146779,wt_final_online,6,6,55-64,0,not_twiceplus_volunteer,2,active
114,1.0,5.0,2.0,2.0,0.624204013384401,wt_final_online,6,5,45-54,1,twiceplus_volunteer,2,active
114,1.0,8.0,,2.0,,wt_final_online,6,8,75-84,,,2,active
114,1.0,8.0,,2.0,,wt_final_online,6,8,75-84,,,2,active
114,1.0,6.0,,2.0,,wt_final_online,6,6,55-64,,,2,active
